word,page,radical,count,code,hanyu
󲦉,228,󳜲,3,hhtxb,1、转；2、转（动）；3、转（量词）；
󲦊,230,󳜲,3,hghxn,1、（设、购、添）置；2、专用名词；
󲦋,235,󳜲,3,hhhxz,切（动词）
󲦌,245,󳜲,3,hggxv,（盛粮食的）围席（名词、量词）
󲦍,251,󳜲,3,hjjxn,（说话切题）；
󲦎,257,󳜲,3,ghkxn,谢谢
󲦏,257,󳜲,3,hpgxn,1、童裙；2、（北斗七星）；
󲦐,259,󳜲,3,hjgxn,噎嗝（yege）
󲦑,295,󳜲,3,hghxn,戏
󲦒,301,󳜲,3,hghxn,1、天；2、日期
󲦓,305,󳜲,3,hghxv,1、七（数词）；2、专用名词；3、人名用词；
󲦔,308,󳜲,3,hzgxn,（认错）
󲦕,308,󳜲,3,hhpxn,（吆猪声）
󲦖,310,󳜲,3,hhgxn,楼
󲦗,326,󳜲,3,hphxc,（蕨）苔
󲦘,335,󳜲,3,hhhxn,搔（sao）
󲦙,349,󳜲,3,hlxn,骗
󲦚,353,󳜲,3,hhjxn,顶好，最好；
󲦛,365,󳜲,3,hhjxb,解（大、小便）
󲦜,367,󳜲,3,hfgxn,突然
󲦝,367,󳜲,3,hjxv,刀
󲦞,369,󳜲,3,hjgxb,1、与；2、（互）相；
󲦟,372,󳜲,3,hfgxc,1、得；2、（回答）
󲦠,372,󳜲,3,hhgxz,亲（爱）
󲦡,374,󳜲,3,hyvxn,（先前）
󲦢,377,󳜲,3,hhhxn,傻
󲦣,377,󳜲,3,hhhxn,（花）蕾
󲦤,381,󳜲,3,hthxn,万（数词）
󲦥,383,󳜲,3,hhgxv,1、（水）沸腾；2、（水）泛滥；3、（水）冒；
󲦦,389,󳜲,3,hjhxz,1、（海拔较低的河坝地区；2、（亚热带）；
󲦧,2,󳜲,4,hhggxb,1、根由；2、（格言，谚语）；
󲦨,3,󳜲,4,hhggxv,（受）伤
󲦩,4,󳜲,4,heppxn,1、参（与）；2、方面；
󲦪,8,󳜲,4,hyghxv,（襁）褓（包婴儿用的被子、毯等）
󲦫,8,󳜲,4,hgjxv,钢
󲦬,26,󳜲,4,hjhxv,开
󲦭,29,󳜲,4,hhhixn,背（动词）
󲦮,29,󳜲,4,hphixm,（小腿肚）
󲦯,30,󳜲,4,hhjxv,（颤）抖
󲦰,31,󳜲,4,hhghxm,婆家
󲦱,32,󳜲,4,hdhxm,茁壮
󲦲,42,󳜲,4,hfgxn,1、身体；2、（洗澡、月经（讳称））
󲦳,44,󳜲,4,hthhxz,芦笙，竹笙
󲦴,45,󳜲,4,hjhxz,作客
󲦵,48,󳜲,4,hhghxz,漏斗
󲦶,51,󳜲,4,hfhxn,（庄稼地里的）杂草
󲦷,54,󳜲,4,hhhgxv,各自
󲦸,56,󳜲,4,hhghxv,（向前）冲
󲦹,59,󳜲,4,hhggxv,1、做；2、（地名用词）；
󲦺,63,󳜲,4,hhghxm,1、（人名用词）；2、表示惊讶；
󲦻,66,󳜲,4,hjthxn,罚
󲦼,66,󳜲,4,hthfxn,可惜
󲦽,74,󳜲,4,hpghxv,擂
󲦾,77,󳜲,4,hghtxv,进、入
󲦿,78,󳜲,4,highxn,1、（桌子）；2、（磨担秋）；
󲧀,86,󳜲,4,hghgxz,（集中精力）听
󲧁,86,󳜲,4,hjhxn,同时
󲧂,88,󳜲,4,hgvhxn,分数
󲧃,90,󳜲,4,hdxv,（臁疮）
󲧄,99,󳜲,4,hhjxn,炷
󲧅,99,󳜲,4,hhhhxn,腥（气）、膻（味）
󲧆,100,󳜲,4,hvgvxn,潮湿
󲧇,104,󳜲,4,hfjxn,密
󲧈,101,󳜲,4,hfhxv,1、生长着；2、（人名用词）；
󲧉,104,󳜲,4,hfhxv,1、居住；2、（基业）；3、（地名用词）；
󲧊,114,󳜲,4,hgthxn,神
󲧋,118,󳜲,4,hyggxv,1、（木炭）；2、（樟木）；3、（香杉）；
󲧌,119,󳜲,4,hgghxn,（行动）迟缓、慢
󲧍,119,󳜲,4,hghhxn,雄伟
󲧎,120,󳜲,4,hfhxn,抚摸
󲧏,124,󳜲,4,hjjxz,忍
󲧐,128,󳜲,4,hthhxz,绣（花）
󲧑,129,󳜲,4,hjrxb,（舂）融
󲧒,130,󳜲,4,hghuxb,（双手）围，抱（量词）
󲧓,136,󳜲,4,hhfxb,下
󲧔,143,󳜲,4,hghgxb,剃（头）修（面）
󲧕,148,󳜲,4,hjjxn,（清晰明亮）
󲧖,157,󳜲,4,hhghxv,（算了，罢了）
󲧗,162,󳜲,4,hghpgxn,愁闷
󲧘,162,󳜲,4,hhfxc,（龙胆草）
󲧙,163,󳜲,4,hghhxn,（草果；缓和）
󲧚,169,󳜲,4,hfthxn,儴解
󲧛,171,󳜲,4,hhfxn,能装
󲧜,172,󳜲,4,hhthxn,绩（麻）
󲧝,173,󳜲,4,hthkx,芽
󲧞,173,󳜲,4,hhhgxc,坡
󲧟,173,󳜲,4,hjhxn,朋友
󲧠,173,󳜲,4,hyhjxv,近
󲧡,174,󳜲,4,hhogxc,（灰彩页）
󲧢,178,󳜲,4,hyjxc,鼻
󲧣,179,󳜲,4,hfggxc,逗（小孩）
󲧤,182,󳜲,4,hjgxc,（植物）出芽
󲧥,184,󳜲,4,hyjxb,1、硝（名词）；2、硝（动词）
󲧦,184,󳜲,4,hjgxv,秧（苗）
󲧧,184,󳜲,4,hhhgxc,孙
󲧨,190,󳜲,4,hhfxv,电
󲧩,191,󳜲,4,hgjxz,（散）乱
󲧪,194,󳜲,4,hdthxn,（楼枕）
󲧫,200,󳜲,4,hsghxv,（坑道）
󲧬,208,󳜲,4,hghjxn,1、松；2、宽松；
󲧭,223,󳜲,4,hhghxn,较量
