word,page,radical,count,code,pinyins,hanyu,hanyukey
󳘆,175,󳝤,5,hgqhhxc,威宁:na¹³/石林:pa³³/红河:ta²¹/巍山:（ha⁵⁵）pu³³/喜德:ba²¹/禄劝:ŋa⁵⁵/石屏:tær²¹/永仁:pɐ⁵⁵/隆林:ne⁵⁵/大方:ŋa¹³/毕节:ŋa¹³,粑、馍、饼,粑、馍、饼
󳘇,178,󳝤,5,hgghdxv,威宁:nʊ⁵⁵/石林:no⁵⁵/红河:fa²¹/巍山:lo²¹/喜德:ȵo²¹/楚雄:mia³³/禄劝:ɳɔ⁵⁵/大方:nu⁵⁵/石屏:nær²¹/隆林:no⁵⁵/盘县:no⁵⁵/毕节:ɳu⁵⁵,活计、工作,活计、工作
󳘈,194,󳝤,5,hggthxn,威宁:ly³³/毕节:lɤ³³,忧（心）,忧（心）
󳘉,204,󳝤,5,hgghjxm,威宁:lɯ³³/喜德:tʼɛ³³/盘县:lɐ³³/隆林:lɚ³³/毕节:lɪ³³,裹、包,裹、包
󳘊,208,󳝤,5,hghhuxz,大方:ʈo⁵⁵/毕节:ʈo⁵⁵,阅（历），纵阅,阅（历），纵阅
󳘋,294,󳝤,5,hggjxz,威宁:ȵdʑi³³/石林:gɤ³³/楚雄:pʼə⁵⁵/禄劝:ŋdʑʼə²¹/大方:dʑi³³/石屏:tʼᴀ³³、tʼɯ/永仁:tʼə²¹/隆林:ȵdʑɯa⁵³/盘县:ŋgɯ⁵¹/毕节:ȵdʑi³³,触动,触动
󳘌,318,󳝤,5,hgggdxm,威宁:ʑɯ³³/石林:dʑɛ²¹/红河:xu³³/巍山:ɕɸ³³so³³/喜德:ʑi³³/楚雄:ʑe³³/禄劝:xo²¹/大方:ʑɐ³³/石屏:xu³³/永仁:dʐi³³/隆林:ndʑɔ⁵³/盘县:zɯ³³/毕节:ʑu³³,梭（下）、滑（下）,梭（下）、滑（下）
󳘍,319,󳝤,5,hghghxm,威宁:kɪ²¹/石屏:kue²¹/喜德:dʑɛ⁵⁵,偷懒,偷懒
󳘎,352,󳝤,5,hgdxm,威宁:ŋgu⁵⁵/红河:gɤ³³/喜德:（hi²¹）ŋgo³³/禄劝:ŋgʼɔ⁵⁵/大方:ŋgʊ⁵⁵/石屏:gɤ³³/永仁:go³³/盘县:ŋgʊ³³/隆林:ȵdʑə²¹/毕节:ŋgu⁵⁵,1、议论、2、交谈；,议论、2、交谈；
󳘏,359,󳝤,5,hgfvxm,威宁:ŋɯ¹³/石林:mɤ⁵⁵/红河:mɤ⁵⁵/巍山:mẽ⁵⁵/喜德:sɤ⁵⁵/楚雄:me⁵⁵/禄劝:ʔə⁵⁵smɤ⁵⁵/隆林:ɔ⁵⁵/大方:tsʼɐ¹³/毕节:vu³³,蒸、焖,蒸、焖
󳘐,377,󳝤,5,hgjgxz,威宁:ʔu⁵⁵/石林:ɯ⁴⁴/红河:sɤ²¹/巍山:ʔu⁵⁵（ȵy⁵⁵）/喜德:vu²¹（ni³³）/楚雄:dzɛ³³/禄劝:ʔɔ⁵⁵/石屏:tɕe⁵⁵/永仁:ʔɯ⁵⁵/盘县:ʔɯ⁵⁵/隆林:ɔ³³/大方:ʔɐ⁵⁵bʅu⁵⁵,馊,馊
󳘑,359,󳝤,5,hghgfxz,威宁:ŋɯ²¹/石林:ŋɛ³³/红河:ŋɤ²¹/巍山:ŋa⁵⁵/喜德:ŋɯ³³/楚雄:ŋa³³/禄劝:ȵe²¹/石屏:ŋɤ²¹/隆林:ŋɯa²¹/大方:ŋɯ²¹/盘县:ŋɯ²¹/毕节:ŋɯ²¹,1、是；2、为何；3、总是；4（是一种什么……）；,是/为何；3、总是；4（是一种什么……）；
󳘒,14,󳝤,6,hgthghxz,威宁:pu²¹/红河:ɤɐ³³/红河:pa⁵⁵/巍山:ɤa³³/喜德:pu²¹/禄劝:pu²¹/石屏:fur³³/永仁:va³³/隆林:ɤa⁵⁵/盘县:pu²¹/毕节:ɤo⁵⁵,调、拌,调、拌
󳘓,24,󳝤,6,hgghggxz,威宁:pʼu⁵⁵/大方:pʼu⁵⁵/石屏:dɤ³³、kɤ³³/盘县:pʼɪ⁵⁵/毕节:pʼu⁵⁵,脑盖,脑盖
