hanyu
擀
考虑
准备、预备
（箭）头
叙述、发表/讲、讲述/
（昌）盛
涨
毒（名词）/草乌/巴豆/（半夏）
（猫、狗的）白花前肢
（蚯蚓）
乃（是）
稠密
肥沃/（后）年
呢（语气助词）/（那么）
（毛发乱）、（汗毛）
雾（霭）
姐姐
再生（作物）
（兔子）/卯（地支的第四位）/
放（牧）/（耕牧，庄稼）
（笛子）
村落/城/（百姓、群众）
闪（亮）
仔鸡（未曾生蛋的小母鸡）
胀
餐、顿（量词）/（彝族家支名
踢（主动）
抽打
（未曾过崽的）母猪
出（嫁）
铅
（更加）/（草席）
（跌跌撞撞，歪歪倒倒）
怜（悯）
（兴）盛
（形容词缀）
狗/戌（地支的第十一位）
（大后天）
射
搂
（转嘎）
避免
搅、拌
和/（也许，可能）
颤（动）
牛/丑/
捋
大（小），长（幼）
美丽/漂亮/
把、给
减
绞痛，酸痛
内，里/（坐下）/地名用词/
生命/脉（搏），（命）脉/
疟（疾）
抖（掉）
生（荒地）
（锄头）
喊
锥（动词）
（插）柴
倾斜
铁/地名用词
水牛
仔（牛）
惊慌
秸秆，干草
（草垫、篾席）
锋利
跛
本（钱）
（伙）伴
（一定的）数量
推动
诚实
（奴）婢
反（叛）
帐
鼻涕
（田）埂
堆（量词）
季（节）
锁（边）
（黄果）/（牛虻）/
适应/地名用词/
焖（饭）
用餐毕
追（问）
密
芒
陡峭/（先生/师傅）
挖
（用手）掐
掐
（洞房）
编（辫子）
肥
佐餐、下（酒、饭）
掉（下），落（下）/（澜沧江）/
（麻痛）
（当然了）
（丛很狭窄的地方）通过
耳语

（察觉）/（发现）/
（白生生）
（寄生茶）
挺（肚子）
柜
秃
（土）坎
（脊椎凹陷处）
阴（天）/冬眠/
浅
拉（屎）
不好
些
阻挡，阻拦/堵截/
低，矮/
（盟誓）
丢（脸）/（象声词）/
（高兴得发狂）/（重叠词缀）/
（渣蓬蓬（形容树木枝叶繁茂）
（重叠词缀）
（角落）
（卧倒，倒下）
衣（古语）/（彝语古部落名称）/（彝语古星星用词）/（汉族）/
渐渐
泣/（形容词缀）/
假
有
（楼）梯
市镇/2（街道，场坝）
和平
（鸟）鸣叫
搂
胜
歪斜
柚栗子（一种灌木，生长在高寒山区）
掺和
肥料，粪
弓
（人命）债
手下/（管辖，辖区）
日/太阳/（福禄、福禄神）/（东方）/
投降
炉、堆（量词）
凸/突出
（祖）宗/祖灵，（祖宗的）神位/
睡（醒）
闲
（祭祀用的）猪
制作
佩服
（胡椒）
谁人
印（动词）
恩情
柜子
头、只、根、条、课（量词）
皮壳/（花生）/
（山）谷
（自然成）团/团结
上（状态动词）
（政令，政策）/人名用词/
花（动词）/花斑
处、圈（量词）
（蓑衣）
重字
仇，敌/打仗/
磨损
门
放，转
借（要还原物）/（无须）
搬移
（祭）献
下子/会儿/
织
古，先，前
（野猫）/（黄鼠狼）/
又
噢（应允声）
印章
将要
（丧祭歌）
玻（璃）
（奉养）
（用嘴）拱
堆（动词）
（芦苇）
锅/锅（量词）/
掷，瘊（子）/肉瘤/
空/零/
对（正）/对（准）/
梯（量词）
（毛）发
可爱
申报，禀报
线索
雇（工）
（顽皮，俏皮）
夜
（不好意思/难为情）
逮（捕）
缴纳
（架子猪（用作育肥的大猪））
短
制造
（酒）曲
调拌，搅
（牛奶）
祭牲
麻风病
（摇）摆
（豆）荚
查认（字）
劈
干（动词）
（手）指/（脚）趾/
收拢
冷
移（栽）
霹雳
前（天）
耙（名词）
结合
吓唬/吓跳/
（排行第二）/次/
筛（子）/（篦子）/（织机篦）/
麻烦
糟蹋
嗜好
甄子
（真理）
腾，挪
虎
顺利
席（子）
续断（中药名）/人名用词/
北
糠
记，忆
（灰尘）
英勇、顽强
铺垫/（凳子）/
痣
（城墙）
（蚂蝗）
们
薅/除草（拔除苗间的草）/
泡（量词）
拐骗（人）
男子汉
（苍蝇）
隐瞒
疗（疮）
刺
（瞄准）
（和谐，和蔼）
脏/臭/
笛子/（迷信中的捉鬼）
压
（脚趾被）碰
榫头
青年
出（事故）
秋
折叠
难
快
敏捷
酸痛/疾病（泛指）
（灭）绝
（重叠词缀）
（芭蕉、香蕉）
（植物的）嫩颠（尖）
雨/冰雹/名词用词/
屁
（点）燃
甜
一绺（liu）线
传承
（拳头）
祭祀
荫
封，包（量词）
烧/焚（尸），火葬/
嗫（嚅）（nieru）
（布谷鸟）/（小杜鹃花）
一（数词）
弹
苔
（抛弃）
眨（眼）
十（数词）
滴（水）
（心胸）
取（蜂蜜）
病，痛
立即
越过
（德行）
星
把（量词）
二（量词）
皱
牢固
害
说
核
耽搁
（稀烂）
帮（助）
（量词）根、头、个、条、只
绘画
（昨晚）
俯卧
尸（体）
朝，向
东
干（燥）/穷（困）/
磨（动词）
安心
顽皮，俏皮/开玩笑/
挑拨
祖禄
重字
侧（身）
骑（动词）/骑（量词）/
纠缠
认真
肝/（生血菜）
（象声词）
书/字/书信/
三（数词）
柱子/极/
拼（力）/咬/
栽，种植
（螳螂）
（麻疹）
（壁虎）
（声音）
荸荠（荸荠）
齐
妨碍
烧（肉）的气味
（火）旺
事情/事故/
彝
红/（火）旺/（部落名）/地名用词/人名用词/
堵（量词）
松脱
西（方）
摇动
沉（甸）
哼
下（雨）
摇摆/（蠕动）
随便，胡乱/很、不得了（补语）/
手/（私房）/（翅膀）/（胡琴）/
山谷
（高山峻岭）/专用名词/（凤凰）/
淤
（镰刀）
脱
纸，书
降落/落下/
（络绎不绝）
围（堵）、围（攻）
拨，扯/（词素）/
（马）笼头
嫌（人）
赚（钱）
转/转（动）/转（量词）/
（设、购、添）置/专用名词/
切（动词）
（盛粮食的）围席（名词、量词）
（说话切题）/
谢谢
童裙/（北斗七星）/
噎嗝（yege）
戏
天/日期
七（数词）/专用名词/人名用词/
（认错）
（吆猪声）
楼
（蕨）苔
搔（sao）
骗
顶好，最好/
解（大、小便）
突然
刀
与/（互）相/
得/（回答）
亲（爱）
（先前）
傻
（花）蕾
万（数词）
（水）沸腾/（水）泛滥/（水）冒/
（海拔较低的河坝地区/（亚热带）/
根由/（格言，谚语）/
（受）伤
参（与）/方面/
（襁）褓（包婴儿用的被子、毯等）
钢
开
背（动词）
（小腿肚）
（颤）抖
婆家
茁壮
身体/（洗澡、月经（讳称））
芦笙，竹笙
作客
漏斗
（庄稼地里的）杂草
各自
（向前）冲
做/（地名用词）/
（人名用词）/表示惊讶/
罚
可惜
擂
进、入
（桌子）/（磨担秋）/
（集中精力）听
同时
分数
（臁疮）
炷
腥（气）、膻（味）
潮湿
密
生长着/（人名用词）/
居住/（基业）/（地名用词）/
神
（木炭）/（樟木）/（香杉）/
（行动）迟缓、慢
雄伟
抚摸
忍
绣（花）
（舂）融
（双手）围，抱（量词）
下
剃（头）修（面）
（清晰明亮）
（算了，罢了）
愁闷
（龙胆草）
（草果/缓和）
儴解
能装
绩（麻）
芽
坡
朋友
近
（灰彩页）
鼻
逗（小孩）
（植物）出芽
硝（名词）/硝（动词）
秧（苗）
孙
电
（散）乱
（楼枕）
（坑道）
松/宽松/
较量
（遮）挡
祭献
（麻）雀
填塞
（纸张、衣服）破烂
葱/（象声词）
（尾）巴
赚（钱），挣（钱）
（（彝语北部方言）圣乍次方言）
锦/（锦江）
炼
紧/忙/（着）急/
遗传
茶
忍（饿）
（酸角）
制度，规矩，法律，原则
肺
（气）阻
粉青色/花白色/
六/六祖/
缺
怀孕
走动/散步/
（向上）冒
青/（地支）/（人名用词）/（地名用词）/
踩
（从上下滑）声
谢谢
（领）牌/古怪/
（保）佑
小时
糊（焦）
犁（名词）
（屋檐下）
小（路），毛（路）/
大象
康复
（语气词）
九节狸/黄腰狸/白面狸/花狸/
畜牲（古语）
拌/调/
削（尖）
关，闭
（乒乒砰砰）
群（量词）
（臀部）
翘
（剖）开
落（使动）
（芋头）
彗（星）
（离开群体）
鬼
（蝴蝶）
（监狱）
帮（名词）
捆（量词）
（核桃）
忘记（了）/（老鼠）/
兵、军
发（给）
（鬼）作祟/冤衍/
（弟）兄/
力
（灶孔）
（虐待）
班、辈
捏
挤（奶）
磨
癫痫病
林
大麦
换（工）
（围）堵（古语）
拿着/握/
喷嚏
累，疲倦
下方
（加盐佐料）泡
死板，不灵活
割
鸽子，斑鸠
（背扇）
（火）镰，（火石）
镶
肮脏，污染
吸（烟）
寻觅（踪迹）
跳
舒适/（补药）/
吸吮
敬奉/祝（酒）/
贷、借（不还原物的借）
庶（民）
（豆腐）
尺（度）
恶龙
（鲸鱼）
瘦（肉），精（肉）
（燕子）/（叽里，蟋蟀叫声）
禁止
兆（数词）
传染
（生气，发怒）
栖息/穴居/群/4/窝
称，衡量/量
岔开
穿串
（柿子）
麸（fu）皮
玉
（象声词）（禁不住发笑的声音）
前（后），周（围）
（天井）
明（天）
（石）沙
（取钱）
卡
站（立）
嘴
发烧
倒塌
（一）切
（什么）
招（手）
威胁
（吉利）/（人名用词）
留（念、下）
药
（沼泽地）/（人名用词）/
钻、凿
（墨水）
潲（雨）/（白鹇（鸟名））/
住宿
揉
棕（树）
抱
狠
碰
除（掉）
（傻子）
定
（花衣服（专指彝族妇女上衣盛装））
角落/拐角/
（饲养）槽
（质量）特差
（胎盘）
（向神）许愿
总是
堵塞
扫
（形容词缀）
焙
辛苦、劳累
（（对姨母、婶娘、伯母等的间接）称呼）
（故）事
家、户
古代彝族首领为建立政权而祭天、地、祖宗时举行“过关祈福”的一种仪式
（用手）剔
突（然）、忽（然）
守卫、保卫
慎重
哼、叫
粗糙
戴（使动）
（子弹）上（堂）
过（新年）
饱满
天井
满
发热
轿（子）
悲（伤）/（疲倦）
板（面孔）
丢、扔/抛弃/
伴随
（堆）尖/过分
场、坝子，街道，场坝/场（量词）/
减（少）、减（产）
止沸
扇（量词）
（开）裂
熟地（开垦后种熟了的地）
皇帝
香（味）
菲篥（li）（一种吹奏的草杆乐器）
落（在）/掉在/
在
汉（族）/商（彝语古语）/
征（税）/
绺（liu）（量词）
（穷骨皮上撞伤）起泡
我
八（数词）
拜（年、天地）
族（人）/（某地、某类）人/（姑父、公公）/
（乐器的）簧片
（田埂）
（语气助词）嘛
孵（动词）
混沌/浑浊/
制造
剪/裁剪/
（抬）高、（垫）高/（敷衍）/
一同，同时
皴（cun）裂（（皮肤）因受冻而裂开）
爱惜
节省
的（人）
掌握/（古时人名用词）
（次）第
起
扶（老、弱）
敲打、击打/（斗殴）/
（拘禁、禁闭）
浓
（决定）
通（达）
能
（拼着）耍
丢弃
（祷告）
颤（抖）
仇怨
生、繁殖
挺（胸、腰、肚）
惩治
重/（沉甸甸）/
（叙述）/（彝文文献的一种）/
（重叠词缀）
闺女/（古语地名用词）/
动
挥舞、抡/（地名用词）/
篇（量词）
闲（闲人、游手好闲）
后脑勺
（词素）
篱笆
孤、寡
（秋千）/（招古，彝族撒尼支系一种祭祀活动）/
乍（彝族“六祖”的第二支系名称）/（人名用词。乍木，彝族先民中最早出现的一位毕摩）/
（（向神）还愿）
唆（狗）
寻、找
安放
（凑在一起）
俯冲
脚
（蟋蟀）
经过、通过
镊子
（年景）/（三界四极）/
（雨）停/（集市）散/
从
（木盔（餐具））
断定
零碎
房
替（他做）
同类
（豆）荚/（酸角）/
笨（不灵活）/
说/语言
（唢呐）
客（做客、客店）
漂（树叶水上漂）
窄
武（彝族先世中一个部族名称）/（武慕（彝语指皇帝））/（阿武（彝族支系名））/（武僰（bo）（彝族先世武部族中僰人一支））/
（形容词）
鹿
（用手指）撮/撮（量词）/
（脊椎凹陷处）/（幽默、风趣、诙谐）/
（应该）
钉（子）
歪斜
防备
禁忌
（首长）
强（强权）
（蜥蜴）
（口、乳、胸）罩
（牛马）劳伤
（虚荣、爱打扮）/（地区、区域）/（那里）/
如、及（我不及他）
倒/翻（翻车）
推、掀
鞋（子）
厩（名词）/（量词）（一圈羊）/
（衣服）皱
劝（酒、饭）
（坟墓）
（公牛）
（生意）做成
奴（婢）（当奴隶、伺候、服侍）/（人名用词）/
多、余、剩
债务
交叉着、交错/（裙子）/
胆（猪胆、熊胆）
样（花样、模样）
（马嚼环）
枪（手枪）
（裤）腰
偿还、赔偿
闪（电）
关系（（没）有关系）
（迎）接（客人）
笑
（刀）鞘
通达、知晓、懂得
（砍柴刀）
（碗）
晕（头晕）
等待、等候
（须）根
煮（酒颗）
射（箭）
（梦）呓、语、话
温暖/晒（太阳）/
（纠缠）/（报应（恶果））/
摔（掉）（摔跤、被马摔下）
权、政权/执法、司令/权势/
用（用筷子、用钱）
（勇敢）
取（取火种）
（象声词）
栓、系（栓猪）
搅（浑浊）（把水搅浑了，搅（转））
（物体落水声、零零碎碎）
戴/穿（鞋子）/
担任（担任工作）
吗（语气助词）
（樱桃）/（地名用词）/
炸（爆炸）
（急火）烧/（象声词）（拖木棒之声）
归属
成见
辛苦/气馁、疲倦/
驮（名、量词）
（马）镫
犟
编（篱笆）
路/道理/
（索梯）/（船桨）/
生气
放（无响声的屁）
悲恸
冠（子）
（排行第五）
收（收庄稼）/招（招工）/
（肋骨）
茬（名词）/茬（量词）/（大季小季）/
（毕摩的法帽）
（开）裂
片（量词）
（肮脏）
（语气词）：呢/吗/啊/
枯萎
展（览）
（因为）
提（花），（刺绣的一种方法）/（地名用词）/
稀疏/（词缀）/
幼、小/（兄弟、姐妹、家族）/（婶婶、后娘）/幺/
糯（谷、米）
簸（东西）
（天）明、亮
拌/（荞圪塔）/蒸（饭）/
蔫
（供）养
点（动词）（点豆腐、点眼药水）
催
（形容词缀）
折磨
涂抹/2（乌马）/3（孔雀）/
（炒面）（名词）
枯萎
（瘿袋）（大脖子）
（踩水）（游泳的一种动作）
（口袋）
（初）一
听
（挑箩）
啃/咬（使动）/
（砚台）
（语气词）啊
盖
严重、惨重
钩
驯服/（田）埂/
幅（量词）/匹（布的量词）/
（说）明/（过分）/
（送）脱
（你、我、他）家
富裕
（母羊）舔（崽）
甩
（强调）
双、对（量词）双（数）、偶（数）
（形容词缀）（亮晶晶）
（马铜铃）
踏（脚）
（拐杖）
（埋怨）
（芋头）
印记/线索、迹象/
（形容词缀）（静悄悄）
丢/投掷/
闪（动）
（八角）
延缓时间/缓（期）
（斗笠）
团（量词）
迟
山羊
晌午（饭）
错
（燕麦）
（果断）
砸
（宝剑）
蚁
关（心）
细（用来粉末状的物体等）
槽
到
（砂锅）
鸡/酉（地支）/（地名用词）/（芫荽）/
（无兴趣）/（无力气）/
（马、羊）叫
急（食）
保护/担保/
价值、价格
卷（衣袖、裤脚等）
（碓）担
豁（出）
破、损
（苗族）
不（否定副词）
（毛茸茸）/（面容憔悴）/
堵塞（洞口）
（后缀词）（红红的）
边缘/棱角/
椒类
取（下）
（语音）清脆
估计、估量/
（眼睛盯着看）
（一下、一会儿）
砣（量词）
赊（账）
（袜子）
顽皮、俏皮/
肯
（清明）
光、赤/
顶替
（使）动
（死板、不灵活）
安慰/诓/
扁（形）
哄
牵、延申/（发展、昌盛）
撒（播）
撕
汗渍/污垢/
样
（渺小、细微）
康复
笙
毡子
（啊呀）表示叹息
（半夏）
筐、箩、笼/（量词）/
羡慕
（额头）
华（美）
纠缠
间（天地之间）
（盐）咸
积、攒（钱）
（牲畜）刨（地）
（冻菌）
虎（别称）
（心）慌
花（斑纹）
（象声词）
盖（屋顶）
出力、奉献
（名声、身份、地位）
（打）破
（习惯）
（囤箩）
设（宴）
（乱）撕，扯/
草/（稻草、泛指草类）
苦（味道）
馋
（叹息声（表示不如意））
挜（硬把东西送给或者卖个别人）
盘、馆/（量词）/
（（籽粒）饱满、壮实）
（便宜）
（猪）叫/（象声词）/
走样
凝结、凝固
（砍柴刀）
惊（醒）/易受惊/（很有精神）/
软弱
（（象声词）枪炮声）
（杜鹃）
（瞌睡）
（稀巴烂）
（筲箕）
迁、启/取/
碎
（（厦子）小屋檐）
填
（姑父）
（以）后
（凡是）
欠（债）
免疫
（饭（儿语））
掏（沟、水井等）
恨、讨厌
知道/（知识）/
捧
垫
喝/吸/
獐（子）
偷盗
正在
（草鞋）
（你、我、他）们
（显然）
薄/稀疏/
网
沤
（告状）
盛（世）
甩打
想、欲
（天）地/（世上凡间）/
（可惜）
得（助词）
（（重叠词缀）（毛发）蓬松）
害（命）
蟒
排行第四
合缝/合拢/
烤（火，一般指取暖）/
（牛枷担（农具））
（竹簾子（晒萝卜丝用））
绸缎/衣（古语）/
挑（使动）
婚姻/许配/
架、台（量词）
（（形容词缀）（黑黝黝）
伤（说话伤人）/亏/
（纸）/（书刊、报纸）/
桩
（事）因
（依靠（瞧得起））
施（底肥）/（名词用字）/
连累、牵连
（烟）熏
可以
（兄弟、姐妹、亲友）个、位（量词）/（这）种（人）/
代
奇数、单数
钉（动词）
挺（胸、腰、肚）/
（骄傲）
来
庹（tuo，动词）/庹（量词）/
过
（爽快）
夏
图案
九（数词）/
（对上级）请求/（对神灵）祈求/
（毛发（蓬松））
（火镰）
（刀子的）前缀词素/巴（豆）/
（平安、顺利）
（钹）/（瓢）/
（公马）
（蜥蜴）
（经络病）
哄闹、喧哗
菌（类、子）
潜（水）
反扣（把有口的器物反扣着）/
野山药（野苕（tiao））
扒（攀援）
暴（露）
（准备、预备）
办（事）
整（齐）
（物品、东西）
建造、建盖
（旅馆、客店）
（经常（天天））
（巴豆（药物））
火（名词）/点（火）/火（五行数）/（火枪、火炮）/（火药）/
里（面）
锋利
砍、伐（树木）
清楚、透明、明白
在（时态词）
（聪明、伶俐）
边、界/方（矩形）/
边、面、后/（跟随、继续）/（顶替）/
有（古语）
（嘴）巴
（猫的词尾）
更替
揭（开）
容易/（很，（不得了（补语））/慢/
干瘪、秕（bi）
棕（皮、树）
（连续不断地来）
（婚配）
解（开）/放（出去）/（睁眼）/
熟（过头）
（伤口）发炎
别（动词）
（应该）
钱财
道（量词）
筑（巢）、做（窝）
驾（车）
签
（包茅）
（家谱）
（法术）
愿意
（果吉，彝族家支）
起泡
导（导线（导纱子））
您（敬称）
孝帕
（芝麻）/（亲戚）/
轴（车轴、轴承）
（梧桐树）
（角落）
隔断（奶）
（行令、司令）/（布置、指挥）/
（城市）
垭（山垭）
尽/完了/
（利益）/（营养）/
退
五（数词）
掉、开（虚词）
越、愈
善、贤、吉、良/（恩情）/
来由
摆设、陈列
交易/贩卖/
滚（使动）
剥（剥板栗）
旗
轻率、马虎
（屋）脊/（牛背）峰/
（显然）
（大腿）
妇（女）
名
地（副词）
（祭牲）
（布）缝接处
（开辟）
本事
刀刃/（锋）芒
背子（名词）/背（量词）
干（活）
（轻轻地走动）
（果）蒂/事因/（人名用词）/
（泥鳅）
采（摘）
完（吃完了）/
抽、吸
穿（针线）
（幻术）/（魔术）
押（送）
摔倒
搭（亲家）
（项）圈
棵（量词）
邀约/邀请/
蹲
（但是）
结（子）/（线团）/打结/
（削）砍/刨（木板）/
（垂落）/（和尚）/
件（量词）
了（助词）/
（（祖宗的）的祠堂、神坛）
回忆
（上、坎上、岩石上）
去
（用手掌）打
弱
残废、瘫痪
毁，坏（动词）
（舒畅）
仓/库/
（伤口）发炎
灵敏
惩治
尖
搭（话）（回答）
掼（稻子）
输/败/
诅咒/（赌咒）/
巡回转
茂盛/2（（树木）枝叶茂盛）/
贫穷、贫困
底下
（曲涅、彝族家支名）
吃亏
（磨刀霍霍）
（荣华）
巧、灵活
舅舅
中（（两者之间））
缺乏/（也许、可能）
（夜）晚/（天）黑/暗、晚/
栓、捆
（土坎）
苦（味道）/（盐巴）咸/
技术、技艺
何（什么）/如何、怎样、怎么/
（酒）醒
（果子、粮食）成熟
撂
喷（水）
铠甲
放出（池塘水、田水）、排水
姓
（嘴）唇
（强行）使牲畜往一定方向走
馒（头）、包（子）
（震动）感
浓、稠
（膀胱）
跟（同）
静
（清楚、明白）
甥/（姐夫、丈夫）/（赘婿）/
移动、挪动/让开、走开/
仙/（细努罗，南诏开国国君）/
（压）瘪
趁/依靠/
陪伴
（平均）分摊
黄松
张（弓）
（自己）
（筲箕（shaoji））
（火）焰
轮
板（木板、石板）/
（小）块
救
（很累）
抢劫
复活
抽空
潜（水）
跨
誊（teng）抄
吵闹、叫嚷、喧哗
禁忌
（火）烟
睫毛
封
烦躁
耍赖/（无中生有）/
软（绵绵）
椽（chuan）（子）
骨（头）
（锅庄石）
（心）欠
（顺心、合心）
引（水）
（舒服、爽快）
早（晨）
前（面）
片（量词）
（斑鸠）
护
（毛毛雨）/（沄（yun）雨）/
臀/（腰杆）/
疮
（鹌鹑）
（叶子）烟
重字
（远古）
端（正）
骗
（施人，古彝人的一支）
抓、拿/（螃蟹）/
也
野生（作物）
（细）敲
嫩芽
全、彻底
必要
（任意、随便）
（包谷）米
眯（眼）
锯（子）
常常（地）
（祷告）
腐、烂
庇护
贿赂
片、丘
拆
（猪）叫
哎！（应声）
（陀螺，一种儿童玩具）
齐，足够
儿子/小，少/者、人/
积水
点（名）、题（名）
鸣叫
跨（门槛）
（一种土染料，用水塘里的黑泥浆、加马桑煮水，用于染衣物等）
跪
（两）端
吝啬
香（祭祀用品）
麻味道
（颈项）/（头子、头目）/
（中）雨
天
空旷
认（认错、认输）
挂（起）
烧（炒）肉的气味
（臭味、怪味）
给
（傣族（摆艺））
拥挤
宽阔
伯父
（黏糊糊（食物腐烂后的状况））
遍（走遍）
（线头、火柴头）
（果子名称的前缀词）
（计划）
（轻）快
（前方、远方）
（全猪全羊（杀死退毛而未剖肚的猪羊））
瘦
咽喉
休息/（勒俄，彝族诗歌的一种）/
（拘禁、禁闭）
（棉花）
（祈求解脱）
圆/（球）体
飞/飘扬/
疾（驰）/越（过）
越（过）
（什么）
沿（着）
亲戚/（人名）/（彝文古书里的世上凡间）
（消）瘦
（玉米）
（芋头）
亲（爱）/（敬仰）/
辨认、辨别/判、断/管、顾/
帽
粮（食）
（布）缝接
饱满、壮实
（螳螂）
的（虚词）
（敬仰）
哈（欠）/张（口）/
泡（汤）
（架子猪）
百（数词）
陷落
（（松、杉树的）嫩尖）
（“摇钱树”（丧场上设的一种孝帕）
（旁边）
（饮食过量）呕吐
卷、本（量词）
侧
块
（经常）
（脚）步/步（量词）/
沾（着）
棉（布、花）
抹、擦
（嫩）薹
（（怜）悯、可怜）
（玉米）
做（梦）
赔偿
好/康复/
（重叠词缀）
切（菜、肉等）
（头绪）
桥/（亲家）/
（形容词缀）（静悄悄）
定
（喷水枪）
发抖（使动）
时
铺设
桌（子）
（舌头）
稀（烂）/炷（量词）/
（窃衣草）
问
顽强/凶猛/
（身体）缺陷
神
（马虎、草率）
（被盖、铺盖）
（唠唠叨叨）
（泄气）
（染）料
两者之间
（宫殿（古语））
丈量（动词/（博乍戈（彝语指贵州大方城）/
（哈）欠
中（暑）/（说话）讽刺/
分离
（撒娇、娇气）
（德行）
我（引述）
熟练
（香油）
叫（使、令）
（包谷）
所（有）/（都）是/多少/（重叠词缀）/
（马）蹄
部位
（可惜）
摇晃
碧、蓝
莓
刺（耳）、吵（耳朵）
（斑茅草）
码、叠（动词）
（紫黑色）
（板栗）
富
塑（像）
啄/（蛇）咬/
咚咚（象声词）
（孩子间互相）逗玩/（诱惑）/
（（未曾生过崽的）小母山羊）
孩、童
（膝关节）
（猛）喝
（朋友、伙伴、同志）
（冰）柱
种（子）
（一筹莫展）
鳝（鱼）
玩/（玩耍）/
呲牙
个（人）/（兵员、战士）/
（续断（中药名））
（（汆cuān）烫）
计谋
散
（虎杖（俗称酸汤杆，一种野生植物）
点（头）
（胡琴）
唾（液）
剥/挑（刺）
（别作声）
雄性（专指山羊）
塑（像）
通知
（芒果）
提、簇、串（量词）
（香油、菜油）
（脊背/保佑）
（节约）
脱（粒）
陈（酒）
吵、闹
中间、当中/（媒人）/
（礼仪）
（衣）领
（山、水等）阻隔/（关节、肚子等）绞痛/
（草鞋）
（植物的）浆、汁
村寨
服（气）
（树）稍
装（动词）
捆（量词）
继续
牵
（五味子果（俗名丈子莓））
吹（号角）
比/丈量（土地）/
（人奔跑或者鸟在地上跑）
嗅/（臭味）/
慢/轻（指动作）/
耐（心）
汗
辨别
耍赖
劈（路）
（（鱼）鳞）
昏
锡（矿）
……来……去
偿还
别人，他人/彝族家支名/
草席，篾席
寿/世/
（吃油、肉）腻
舂（chong）
塘
飞逝
蕨（菜）
港湾
（不耐烦）
铲
花费、费用
在（心里）
克、伤
（灾星）
（大蒜）
胃
锦鸡
