"word","weining","dafang","luquan","bijie","panxian","longlin","honghe","shiping","weishan","xide","chuxiong","yongren","shilin"
"󲫔","li²¹","li²¹",,"li²¹",,,,"tɕʼi³³",,,,,
"󲫕","la³³","la³³",,"la³³","la³³",,"la²¹","nᴀ³³",,"tsʼɪ²¹",,,
"󲫖","lɯ⁵⁵","lɯ⁵⁵",,"lɤ⁵⁵",,,,"ȵe⁵⁵",,,,,
"󲫗","lɯ³³","lɐ³³","lɯ²¹","lu³³","lɿ⁵¹","laɯ⁵³","lɯ³³","lɯ³³","lu³³","lɿ³³","li³³","li³³","pi⁴⁴"
"󲫘",,"Va¹³",,,"lɐ²¹",,,"fɤ⁵⁵",,"lɯ²¹",,,"tie²¹"
"󲫙","ʈu³³","ʈu³³",,,,"tu⁵³",,"tæ²¹","pʼiŋ³³、tʂu²¹","bu⁵⁵","tʼu²¹",,"ʈɬa³³"
"󲫚","ɖɯ⁵⁵","ɖʅ⁵⁵",,"ɖʅ⁵⁵",,,,"pʼɛ³³","ʂᴀ⁵⁵","lɛ⁵⁵",,,
"󲫛",,"no³³","ɳu⁵⁵","nu³³",,,,,,,,,
"󲫜",,,,"tɕi³³",,,,"tɕi⁵⁵",,"tʂʅ³³",,,
"󲫝","tʂʼo³³","tɕʼe²¹","tsʼɚ²¹","tɕʼe²¹","tsʼɐ²¹","tɕʼɯa³³","tɕʼa³³","tsʼæ³³","tɕʼy⁵⁵","（xo³³）ŋgɔ³³",,,"tʂʼᴀ⁴⁴"
"󲫞","tʂʼu³³","tsʼɿ³³","tʂʼʅ³³",,"tʂʼɿ","tɕʼɯ⁵³","tʂʼʅ³³","tsʼɿ³³","tsʼʅ²¹","tʂʼɿ³³","tʂʼʅ²¹","tʂʼʅ²¹","tʂʼʅ²¹"
"󲫟",,,,"Vu²¹","dzɐ²¹",,"lu²¹",,,,,,"dʐɐ³³"
"󲫠","ɳdʐa¹³","ndza¹³","ɳdʐʼa⁵⁵","ndʐa¹³",,,,"dzᴀ²¹",,,,,
"󲫡","ɳdʐʅ³³","dzu²¹","dʑɔ²¹","ndʐu²¹",,,,"dʑe³³（bi³³）",,,,,
"󲫢","ʂu⁵⁵","su⁵⁵","ʂor²¹","ʂu³³",,"ɕɯ³³","ʂu⁵⁵","ʔɤ⁵⁵","tʂʼu³³","tʂɿ²¹",,,
"󲫣","ʂʊ¹³（ʂo¹³）","sʊ²¹","ʂo³³",,,"ɕou³³psʊ³³","ʂo²¹","so²¹","tʂa³³","ʂɯ²¹","tʂo³³","tʂo³³","ʂa⁴⁴"
"󲫤","ʂʊ²¹",,,,,,,"tɤ²¹、te³³",,,,,
"󲫥",,,"tce²¹","ȵdʑe²¹",,,,,,,,,
"󲫦",,,,"tɕʊ³³",,,,"（dzɿ²¹）tɕer²¹",,"tɕɿ²¹",,,
"󲫧","tɕʼi¹³、tɕʼɪ³³","tɕʼi³³","tɕʼi³³","tcʼi³³","tɕʼi²¹","tɕʼi²¹","tɕʼi²¹","tɕʼi²¹、gɣr²¹","kʼɯ⁵⁵（pɪ³³）","ɕɿ³³","tɕʼi³³","tɕʼi³³","tʂʼʅ³³"
"󲫨","tɕʼi²¹、tɕʼi³³",,,,"tɕi⁵⁵",,,,"ba²¹","ɕo⁵⁵",,,
"󲫩","ȵdʑʊ²¹","ȵdʑʊ²¹","ȵdʑʼo²¹","ȵdʑʊ²¹",,"dʑei³³","dʑɣ²¹","dzɤ²¹","ko²¹","ŋga³³","kʊ³³","ko⁵⁵","kɐ³³"
"󲫪","ȵɪ³³（du³³）",,"ȵə²¹","ȵi²¹",,"ȵɯa⁵³",,"nɤ³³","tɕiŋ²¹","tso³³","（mɤ⁵⁵）nɤ³³",,
"󲫫","ʑe²¹","ʑe²¹",,"ɣe²¹","ɣɚ²¹",,,"tsʼɤ²¹",,,,,
"󲫬","ke¹³","tʼu⁵⁵","gɔ³³","kue⁵⁵","kɚ³³","pʼɔ⁵³","pʼɛ³³","pʼɛ³³","na²¹","nɯ⁵⁵",,"tʼɯ²¹","ɣɐ²¹（nɐ⁵⁵）"
"󲫭",,"ka³³",,"ka³³","tɕɪ³³",,,,,,,,
"󲫮",,,,,,,,,,"kʼu³³",,,
"󲫯",,"dze¹³",,"dzɪ³³","dʑi²¹","dʑei⁵⁵","dʑi²¹","dʑi²¹",,"gɛ²¹",,,
"󲫰",,"dze¹³",,"dzɪ³³","dʑi²¹","dʑei⁵⁵","dʑi²¹","dʑi²¹",,"gɛ²¹",,,
"󲫱","hɪ²¹","hie²¹","hɚ²¹","he²¹","hɚ²¹","hɚ²¹","xɪ²¹","xe²¹","hi⁵⁵","ʑi³³","he³³","ɕi³³","hɛ³³"
"󲫲","pa⁵⁵",,"bo²¹",,,,,"bo²¹",,,,,
"󲫳","pa³³","tsʼʊ²¹",,"pa³³",,,,,"by³³",,,,
"󲫴",,,,,"bʊ⁵⁵",,"be³³","to³³、be³³","bɪ³³","tɕe³³",,,
"󲫵","mbe²¹",,"mbʼə⁵⁵","bu³³",,"tɯ⁵³","pɤ⁵⁵","dɤ²¹","peŋ⁵⁵","po³³",,,"pɯ⁵⁵"
"󲫶","mba³³","mba³³","mbʼa²¹","mba⁵⁵","mba⁵¹","mbe⁵³","ber³³","ber³³","bɪ³³","pa³³","be³³","be³³","be³³"
"󲫷","mo¹³","mo³³",,"mu³³",,"be²¹","pi⁵⁵","fi⁵⁵","kv²¹",,,,"pi⁵⁵"
"󲫸","ve⁵⁵","ve⁵⁵","vɛ³³","ve²¹",,,"vɛ²¹","vɛ²¹","ɕi⁵⁵","vi²¹","ɕe²¹（na²¹）","vi²¹（nɛ³³）","vɛ³³"
"󲫹","ve³³","mbu²¹",,"ve²¹","pɚ³³",,,,,,,,
"󲫺","Vu³³","ɣɐ³³","ɣu³³","vu³³","vu³³","ȵɯa⁵³","ts²¹","vur²¹","tse¹³","（i³³）fi³³",,,
"󲫻","vu³³","vu³³","və³³","vu³³",,,"ʔo³³",,,"vo³³",,,
"󲫼","tsɪ⁵⁵","ɬo³³",,"tɕi⁵⁵",,,,,"tsa³³",,,,
"󲫽","tsʼɪ³³","tsʼɛ³³","ʂə⁵⁵","tsʼɪ²¹",,"tɕe³³","tsʼɛ²¹","pi²¹","pi¹³","tsʼɿ³³",,,
"󲫾","tsʼu²¹","tsʼu²¹","tsʼɤ²¹","tsʼu²¹",,"tɕʼe⁵³","tsu²¹","tsu⁵⁵","tso³³","dzo²¹","tə³³","tsʼi³³","tso²¹"
"󲫿",,,,,,,,"dzur²¹",,"dzɛ²¹",,,
"󲬀","dzu³³","dzɐ³³","dzɔ³³","dzu³³","dzo³³",,"dza³³","dza³³","gu²¹","ɕi³³",,,
"󲬁","dzɯ⁵⁵","dʑi⁵⁵","dzɯ⁵⁵","dʑi⁵⁵",,,,"nur³³pdzɯ⁵⁵",,"kʼi³³",,,
"󲬂","dzɯ¹³","sɿ³³","ʂɯr⁵⁵","dzɿ³³","dzɐ³³",,"dʑe³³","dzɛ³³","dʑe⁵⁵","dʐʅ⁵⁵（dʐə³³）",,"dʑɛ³³",
"󲬃","dzɯ²¹","dzɯ²¹","dzer²¹","dzɿ²¹","dzɐ²¹",,,"tsa³³（fu³³）","fraŋ²¹","tʼur³⁴（tɕo³³）",,"fa²¹","xɯ²¹"
"󲬄","dzɯ²¹","dzɯ²¹","dzer²¹","tɕi⁵⁵","dzɐ²¹","ke³³","tɕi⁵⁵","tɕi⁵⁵","tɕi⁵⁵","ʑi²¹",,"dze³³","dzɯ³³"
"󲬅","ndzu²¹","ndzo²¹","ndzʼu²¹","ndzu²¹","ndzu²¹",,,"dzo²¹","ʑe²¹","tsu²¹","tsu⁵⁵","tsʼɪ³³",
"󲬆","ndzɯ⁵⁵","dzɐ³³bndzu³³",,,,,,,,,,,
"󲬇","tu⁵⁵",,,,,,,"tu⁵⁵",,,,,
"󲬈","tʼi³³","tɕʼu⁵⁵",,"tʼi³³",,,"tʼɤ³³","tʼɤ³³","tʂao⁵⁵","fᴀ³³",,,
"󲬉","tʼy⁵⁵",,,"tʼi⁵⁵",,,"fa²¹","fᴀ²¹","ɳdʐɯ⁵⁵",,,,
"󲬊",,"tɕa²¹",,"ndi³³",,,,"tsʼo³³",,"di⁵⁵",,,
"󲬋","de⁵⁵","de⁵⁵","do⁵⁵","de³³",,,"do³³","dzɿ²¹","tɕi¹³","tɕi²¹","mə³³","do³³","kʼɪ³³"
"󲬌","de³³","de³³","də³³",,,"dɚ⁵³","bɤ³³","bɛ²¹","by²¹","dʑi³³",,"bɤ²¹","bo³¹"
"󲬍","dɯ⁵⁵","di⁵⁵","mbʼu³³","di⁵⁵","dʼɐ⁵⁵","dɯa²¹","ti⁵⁵","ti⁵⁵","dy²¹","di²¹",,"tu³³","pa⁴⁴"
"󲬎",,"nɯ³³","ne³³",,,"nɯa⁵³nɤ³³","nɤ³³","nɤ³³","ȵɪ³³","nɛ³³","nɛ³³","nɛ³³","nɯ³³"
"󲬏","ɬo²¹","ɬo²¹","ɬɔ²¹",,"ɬo⁵¹",,"ɬar²¹","ɬær²¹","by⁵⁵","ɬo²¹、xo³³","lɔ³³（ɔi³³）",,
"󲬐",,"dʑu²¹",,"dʑɪ¹³","ɬɿ²¹",,,,"tsaŋ⁵⁵","ɬɿ⁵⁵",,,
"󲬑","li⁵⁵","tɕʼye⁵⁵",,,,,,"fær³³",,,,,
"󲬒","li⁵⁵","tsɿ³³",,,,"lu⁵⁵","lu²¹",,,"ŋɯ³³",,,
"󲬓","le²¹","lʊ²¹",,"le²¹","lo²¹",,"lo⁵⁵",,,,,,
"󲬔","ɖɯ²¹","tʼo¹³",,"ʈʼo¹³",,,,,,,,,
"󲬕","dʐɯ²¹","dzɿ²¹","dʐe²¹","dʐʅ²¹","dzɐ²¹","dʑɯa²¹","dʑe²¹","dʑe²¹",,"dʑi³³",,"dʑe³³","tʂɯ³³"
"󲬖","ɳdʐɪ³³","ndzɛ³³","dze²¹","ɳdʐɪ³³","dʑi⁵⁵",,"dze²¹","dzɤ²¹、sɤ²¹","kʼe⁵⁵","ɳdʐa³³",,"də²¹",
"󲬗","ɳdʐʅ²¹","ndzɿ²¹","ɳdʐʼe²¹","ȵdʑi²¹",,"ndʑe²¹",,"dʑe²¹","tʂaŋ⁵⁵","ɳdʐɯ³³","dʑe³³","dʑe³³","dʑɪ³³"
"󲬘","ʂa¹³","sa¹³","ʂar⁵⁵","ʂa¹³","sar²¹","ɕe⁵⁵","ɕe²¹","ɕe²¹","tʂʼa⁵⁵","ʐo⁵⁵","zɛ²¹","ɕe⁵⁵","ɕe⁵⁵"
"󲬙","tɕi¹³","tɕi³³","tɕi³³","tɕi³³","tɕi⁵⁵","tɕi³³","tɕi⁵⁵","tɕi⁵⁵","kɯ⁵⁵","tɕɿ³³","tɕi³³","tɕi⁴⁴","tʂʅ³³"
"󲬚","tɕɪ³³、tɕɪ³³","tɕi³³","kə²¹","tɕi³³","kɯ⁵¹",,,"zor²¹",,"dʑi²¹","mur²¹","tʼu²¹",
"󲬛","tɕe²¹","tɕe²¹",,,,,,"te³³","tɕɸ³³",,,,
"󲬜","tɕʼy⁵⁵",,,"tɕʼy⁵⁵","tsʼu⁵⁵",,"ba³³","pæ²¹",,"tʂʼo⁵⁵","tʂʼu³³",,"tʂʼi³³"
"󲬝","tɕʼʊ³³","tsʼɐ³³","tɕʼu³³","tɕʼʊ³³",,"tɕʼɔ⁵³","tɕʼo³³","tsʼo³³",,,,,
"󲬞",,"tɕʼʊ⁵⁵",,"tɕʼʊ⁵⁵","tsʼʊ⁵⁵",,,"kʼur²¹、so²¹","pʼe²¹、ty⁵⁵（ɣu²¹）","tsɛ⁵⁵",,,
"󲬟",,"ȵdzie³³",,"dʑi⁵⁵",,,"dʑi²¹",,"ba²¹","ɬɛ⁵⁵",,,
"󲬠","ȵɪ³³",,"dʑe²¹",,,,,"tsʼᴀ²¹",,"（mu²¹）mi⁵⁵",,,
"󲬡","ɕi¹³","ɕi³³","ɕi³³","ɕi³³","ɕi²¹","xi²¹","ʂʅ²¹","ɕi²¹","xɯ⁵⁵","sʅ³³","ɕi³³","ʂi³³","ʂi³³"
"󲬢","ʑe²¹","ɣɯ²¹","ɣç²¹","ɣe²¹","ɣɚ⁵⁵","ɣa²¹","ɣɛ²¹","ɣɛ²¹","ʑe⁵⁵","ʑʅ³³","ʑe³³","ge³³","ʑɛ³³"
"󲬣","kɯ²¹",,,,,,,"kɤr²¹",,,,,
"󲬤",,,,"dʑie²¹",,"ge⁵³",,,"sa²¹","gɛ³³",,,
"󲬥",,,,"go³³",,,"gu²¹","gu²¹",,,,,
"󲬦","gu²¹","gu²¹",,"gʊ²¹",,,,,,,,,
"󲬧","he²¹","mie²¹","ŋɚ²¹","ȵye²¹","ŋɚ⁵¹","ŋɤ⁵⁵","ŋɛ²¹","ŋæ²¹","mɯ³³","mo²¹","mɯ³³","mi³³","ŋɛ³³"
"󲬨","ho²¹","ho²¹","ɳɔ²¹","ho²¹","ho⁵¹","hɔ²¹","xa²¹","xᴀ²¹","lur³³","（la³³）","ɕa³³","lɔ³³","ɬo³³"
"󲬩",,,"ba²¹",,,"be²¹","pa²¹","pær²¹","kʼɯ⁵⁵（tɕi⁵⁵）",,,,
"󲬪","bɪ¹³","bɛ¹³",,"tsa¹³","bi²¹",,,,,"tɕo⁵⁵",,,
"󲬫","mbɪ³³","mbɛ³³","mbʼɚr²¹","mbɪ³³","mbɚ⁵¹","mba⁵³","bar³³","bæ³³","ba³³","mbɛ³³","pɛ³³","ba³³","ba³³r"
"󲬬","mba⁵⁵","mba⁵⁵",,"mba⁵⁵",,,,"ber³³",,"ʐa³³",,,
"󲬭","mʊ³³","mɯ³³","mə³³","mɤ³³","mo³³","mə⁵³","me³³","me³³","ly⁵⁵","tsʼa³³","mɯ²¹","mɯ⁵⁵","mo⁵⁵"
"󲬮",,"mie²¹",,"ȵye²¹",,"me³³",,,,,,,
"󲬯","fe³³","ŋgɯ²¹","ndʼɔ⁵⁵pfɪ³³","fe³³",,,,,,"ga³³",,,
"󲬰","fe¹³","fe³³","fə³³","fe³³","fɚ³³",,"fɛ⁵⁵","fɛ⁵⁵",,"dzɿ³³",,,"fɛ³³"
"󲬱","vi²¹","ɕie³³",,"vi²¹","vɪ⁵¹","ve²¹",,,"pe⁵⁵","zi³³",,,"sɯ⁵⁵"
"󲬲","tse³³","ndzu¹³",,"tsɿ³³",,,,,,"za³³",,,
"󲬳","tsʼɪ³³","tsʼɯ²¹","tsʼç²¹","tɕe²¹",,"tɕʼa²¹","tsʼɛ²¹","tsʼɛ²¹",,"tsʼɿ³³",,"tsʼɿ³³","tsʼɿ³³"
"󲬴",,,"zɚ³³","zɪ³³","ʑi³³",,,"tɕi³³","tsɿ³³","zɛ³³",,"zɿ³³",
"󲬵","te⁵⁵",,"to⁵⁵","ti⁵⁵",,"tɯa⁵⁵","ta³³","tæ²¹","pi²¹","ti⁵⁵",,"pʼɛ³³","tɤ⁵⁵"
"󲬶","te²¹、ɣo³³","ɣo³³","to²¹","ɣo³³","tɚ²¹",,"ɣæ³³","ɣæ³³","tɕiao²¹",,,,
"󲬷",,"ʈa²¹",,"tʼo³³",,,"tʼo²¹","tʼo²¹",,"tʼo²¹",,,
"󲬸","die¹³","di¹³","de⁵⁵","di¹³",,"dɯa⁵⁵","dɤr²¹","dɤr²¹","kʼo³³",,,"de²¹","dɤ³³"
"󲬹","ndɯ²¹","ndɯ²¹",,"ndɤ²¹","ndɯ²¹","tɯ⁵⁵、ne⁵⁵","so⁵⁵","tᴀ³³","taŋ³³","de³³","mo³³","tan","mu³³"
"󲬺","nu³³","tsu¹³",,"no³³",,,,"ŋᴀ⁵⁵",,,,,
"󲬻","ɬe¹³","ɬie³³","ɬo³³","ɬe³³","ɬo³³","ɬə³³","dʑe³³","dʑe³³","（la⁵⁵kʼa²¹）","ɬɿ³³（Vo³³）",,"lɛ⁴⁴","ɬɛ⁴⁴"
"󲬼","ʈɪ³³","ʈɛ³³、pɤ²¹","po²¹","tɪ³³、bo³³","tɚ⁵¹",,,,,,,,
"󲬽","ʈe⁵⁵、ʈe³³","ɳe¹³","ʈo⁵⁵","tʂʼu³³",,"tɕʼɯ³³","xɯr³³","xɯ³³","kʼu⁵⁵",,,,
"󲬾","ʈɯ³³",,,,,,,,,,,,
"󲬿","tʂʼe²¹",,,"tʂʼe³³",,,,"tɕʼi⁵⁵（no²¹）",,,,,
"󲭀","ʂu³³",,,,,,,,,,,,
"󲭁","tɕi¹³","tɕi³³","tɕi²¹","tɕi³³","tɕi⁵¹","ve²¹","tɕi³³","tɕi³³","tɔ⁵⁵","tɕɛ³³",,"tɕi⁴⁴","tʂi⁴⁴"
"󲭂","tɕi¹³","tɕi¹³","tɕir⁵⁵","tɕi³³",,,"tɤ⁵⁵","tɤ⁵⁵","feŋ⁵⁵","tɕɛ³³",,,
"󲭃",,"sɿ³³","tɕa⁵⁵","ȵye²¹",,,"tɕᴀ⁵⁵","tɕᴀ⁵⁵","tɕaŋ⁵⁵",,"tɕᴀ⁵⁵",,"tɕᴀ⁵⁵"
"󲭄","tɕɯ²¹","tɕi²¹","tɕe²¹","tɕʊ²¹",,"tɕʼɯ²¹","ʑe²¹",,"piŋ³³","ʑe²¹","zɛ²¹",,
"󲭅","dʑʊ²¹、dʑʊ³³","dʑʊ²¹","dʑo²¹","dʑʊ²¹","dzo⁵¹","dʑou²¹","dʑo²¹","dzo²¹","ga⁵⁵","ga³³","dʑo¹³","go³³","kɐ³³"
"󲭆","ȵdʑa³³","ȵdʑa¹³","ȵdʑʼa²¹","ȵdʑa³³",,"dʑɯa²¹",,"tɕe³³",,,,,
"󲭇","ɕy²¹","ʑi³³","tsʼɯ²¹","zɿ³³",,,,"ɕi⁵⁵",,,,,
"󲭈","ɕy²¹",,,,,,,,"te³³",,,,
"󲭉","ʑy²¹",,,,,,,,,,,,
"󲭊","kɯ¹³","kɯ³³","tɕe³³","nɤ³³","kɐ³³","kɯa³³","dzo²¹、tɕe⁵⁵","tɕe⁵⁵","ku⁵⁵","ndzu²¹",,,"gɯ³³"
"󲭋",,"kɯ²¹",,"kɯ²¹",,,,,,,,,
"󲭌","kɯ²¹","kɯ²¹",,"kɯ²¹","kɯ⁵¹",,,"kɤ²¹","ɕy⁵⁵",,,,
"󲭍",,,"ne²¹","ɳɤ²¹",,"nɯa²¹","ŋɤ³³","ŋɤr³³","ɣu²¹","ʂa³³",,"gə²¹","ŋe³³"
"󲭎",,"hɪ²¹","ȵe²¹","hi⁵⁵",,"ŋaɯ⁵⁵","ŋɯ²¹","ŋɤr²¹ŋa⁵⁵",,,,,"fᴀ⁵⁵"
"󲭏","ho²¹","ho²¹","ho²¹","hɤ²¹",,,,"（fur³³）lur³³",,,,,
"󲭐","bɪ¹³","bɛ¹³","bi⁵⁵","bɪ¹³","bi³³","bei⁵⁵、dʑei⁵⁵","bi²¹","bi²¹","bɪ²¹","bi⁵⁵","be²¹","bi²¹","bi³³"
"󲭑","bu³³","mbu³³","də²¹","mbu³³",,"tɕʼɔ³³","bo²¹","tsʼo⁵⁵、ba³³","be²¹","mbo³³",,"bo²¹","ba²¹"
"󲭒","mi⁵⁵","pe³³",,,,"ni³³","lci²¹","ɬi²¹","tsaŋ³³",,,,"ni⁴⁴"
"󲭓",,"nu³³",,,,,,,,"dᴀ³³",,,
"󲭔","ʈo²¹",,,,,,"tʂʼu³³",,"gu³³",,,,"kʼo⁴⁴"
"󲭕",,"ʈʼʅ²¹","ʈʼə⁵⁵","ʈʼi²¹",,,,,,,,,
"󲭖",,,,,,,,"tɕe²¹",,,,,
"󲭗",,"tɯ³³","tɕa⁵⁵",,,,"tɕa⁵⁵","tær²¹",,,,,
"󲭘","tɕa³³","tɕa³³","tɕa²¹","tɕa³³",,"bu⁵³","tɕe³³","bo³³、tɕer³³","bᴀ²¹","xɯ³³","tɕe³³","tɕer³³","tɕe²¹"
"󲭙","ȵɪ¹³ȵɪ²¹","ȵa³³","ȵo̩³³","ȵe³³","ȵɪ³³","ȵə³³","ȵɛ⁵⁵","ŋʼe⁵⁵","ʔu⁵⁵",,"ʑç³³","ʑɛ⁵⁴",
"󲭚","ȵo³³","ȵɐ³³","ȵɔ³³","ȵʊ³³","ȵɐ³³","ȵu⁵⁵","ȵa³³","nᴀ³³","nu²¹","ȵo³³","ȵa³¹","nɔ²¹","no⁵⁵"
"󲭛","kʼa¹³","kʼua¹³","kʼa⁵⁵","kʼua¹³","kʼa²¹","kʼe⁵⁵","tɕʼe³³","tɕʼe²¹","pʼɤ²¹","kʼi⁵⁵","ɣo³³","ɣo⁴⁴","tɕʼe²¹"
"󲭜","ge²¹","dʑe²¹","tʼe²¹","dʑie²¹","ŋga²¹","tʼi⁵³.dʑɚ²¹","gɛ²¹","dzɛ²¹","tʼi²¹","tʼi³³","tʼe²¹","dʑi³³","dʑɛ³³"
"󲭝","ga¹³",,,,,,,,,,,,
"󲭞","me⁵⁵","me⁵⁵",,,"mɚ⁵⁵","dʑɯ²¹",,,,,,,
"󲭟","tsu³³",,,,,,,,,,,,
"󲭠","tʼu⁵⁵",,,"tʼu⁵⁵","tʼo⁵¹",,"tʼo²¹",,"tian²¹","tie³³",,,
"󲭡","ʈʼʊ³³",,,,,,,,,,,,
"󲭢","tʂu³³","tʼɯ³³",,"dʐu³³","tsu²¹",,,"xær³³",,,,,
"󲭣","ȵdʑa³³","ȵdʑa³³",,,,"gʊ²¹","so⁵⁵、go²¹","lɛ⁵⁵","mʊ¹³",,"（dʑi²¹ɕiɛ²¹）",,
"󲭤","ȵdʑa³³","ɳɖa³³",,,,"ndei⁵³",,,,"zɪ⁵⁵",,,
"󲭥","ɕy²¹","xɯ³³","xu²¹","xɯ²¹",,"ɕo³³",,"ɕe³³（mu²¹）",,"ʂo²¹（mo²¹）",,"lɔ⁴⁴（mɯ³³）","（ʂɐ³³）ɕɪ²¹"
"󲭦","dʑʊ¹³","dʑu²¹","dʑu³³","dʑu²¹","dzu²¹","dʑɯ²¹","dʐu²¹","dzu²¹","gu³³",,,,
"󲭧","pʼi³³",,"be²¹",,,"baɯ²¹","bɛ⁵⁵","be²¹","bi⁵⁵","bi³³","be³³","be³³","bɪ³³"
"󲭨",,"kɯ⁵⁵",,"ȵa³³",,,,"dzᴀ²¹",,,,,
"󲭩",,,,,,,,,,"su⁵⁵",,,
"󲭪","tʼɯ⁵⁵","tʼi⁵⁵","tʼə⁵⁵","tʼi⁵⁵",,"tʼɯa²¹","de³³","tʼi²¹","tʼɪ²¹","tʼi²¹","tʼə²¹",,"tʼɛ²¹"
"󲭫","nʊ¹³","nʊ³³","no³³",,"nu³³","nou³³","no⁵⁵","no⁵⁵","na⁵⁵","na³³",,"no⁴⁴","nɐ³³"
"󲭬",,,,"ku²¹",,,"ku⁵⁵","ku⁵⁵",,,,,
"󲭭","xa¹³","tɕʼi¹³","tɕʼə⁵⁵","xa¹³","xa²¹","tɕʼɯa⁵⁵","tɕʼɤ²¹","tsʼsr²¹","kʼo²¹","ɕi⁵⁵","kʼa⁵⁵","kʼe²¹","kʼɤ²¹"
"󲭮",,,,,,,,"ɣær²¹",,,,,
"󲭯","ʔa³³",,,,,,,,,"ɣa³³（ʔᴀ³³）",,,
"󲭰","pi⁵⁵","pie⁵⁵","pi⁵⁵","pie⁵⁵",,"bə²¹","pi²¹","pi²¹","tsi²¹","xa⁵⁵bə³³",,"pi⁵⁵","pi²¹"
"󲭱","pi²¹","ʟi³³",,"pi³³",,,"zɛ²¹",,,"pi²¹",,,"zɛ²¹"
"󲭲","pa⁵⁵","pa¹³",,"go¹³","par²¹","ka²¹","ko²¹","kor²¹","kæu⁵⁵","ka²¹",,,
"󲭳","pu³³","po³³","pɯr²¹","pʊ³³",,"paɯ⁵³","ɕe²¹","pu³³","pɪ³³","bur³³","pɯ³³","pɯr³³","pu³³"
"󲭴","pʼɪ²¹","pɛʼ²¹","pʼi²¹",,"pʼɪ²¹","ɕɔ⁵³","bur²¹","bur³³Ttʂʼo³³","tsʼa⁵⁵","nɯ³³","tʂʼo³³",,"si²¹"
"󲭵","pʼu²¹",,,,,,,,,,,,
"󲭶",,"ɬo³³、ɖa¹³","ɖɤ⁵⁵","bʊ²¹",,"də²¹","dɤ²¹xɔ³³","dɤ²¹",,"bu³³",,,"dlɯ²¹"
"󲭷","bʊ⁵⁵","bo⁵⁵",,"bo⁵⁵","bu²¹","hɚ²¹","kʼɯ⁵⁵","tʼɤ³³","hi⁵⁵、tsa³³","tɕi⁵⁵","və²¹","ve²¹","vi³³"
"󲭸","mbo³³","mbo²¹",,"mbo³³",,"bo²¹","ba²¹","ba²¹","bu³³","ga⁵⁵",,"so³³","bo³³"
"󲭹",,"ʟe¹³",,,,,,,"la²¹","mɿ⁵⁵",,,
"󲭺","fe³³","fe³³","jə³³","fe³³","frɪ³³","frei³³","fɤ⁵⁵","fɤ⁵⁵","ʔli³³","hi³³",,"ʑi⁵⁵","vi³³"
"󲭻",,,,"tsɿ³³",,,,,,"tsɯ²¹",,,
"󲭼","dzɯ²¹","dzɯ²¹","dzə²¹","dzɿ²¹","dzɯ²¹","dʑə²¹","（a³³）dzɤ⁵⁵","dzɤ⁵⁵","tɸ²¹","dzi³³",,"dze³³","dzɯ³³"
"󲭽","zɯ³³","zɯ³³",,"zɿ³³",,,,,,,,,
"󲭾",,"dzu³³",,,,,"tɤ⁵⁵","tɤ³³",,,,,
"󲭿","tʼo¹³","tʼo¹³","tʼo³³","tʼo²¹","tʼu²¹",,"dɤ³³","dɤ³³","kʼɯ³³","tʼɛ⁵⁵",,"tʼu²¹","dɤ³³"
"󲮀","tʼo²¹","to³³","da²¹",,,,"ba³³","bær³³",,"tʼɯ²¹","bɛ²¹",,"pᴀ³³"
"󲮁",,,,,,,,,,"di⁵⁵",,,
"󲮂",,,"dɛ³³",,,"ndɚ⁵³","dɛ³³","dɛ³³","tsʼo³³",,,,
"󲮃","du⁵⁵","du⁵⁵",,"du⁵⁵","du²¹",,,,"du³³","dʑu²¹",,,
"󲮄","dɯ³³","di⁵⁵",,"di⁵⁵",,,"dɯ²¹",,,"kʼu³³",,,
"󲮅","ndʊ⁵⁵","ndu⁵⁵","ndʼɔ⁵⁵",,,"ndo⁵⁵","lu³³","lu³³","ʔlɔ³³",,,,
"󲮆",,"ɬi⁵⁵","ɬi⁵⁵","ɬi⁵⁵","ɬɪ⁵⁵",,,"ɬær²¹",,"ɬi⁵⁵",,,
"󲮇","ɬi⁵⁵",,,"ɬi⁵⁵",,,"ko²¹",,,,,,"ko²¹"
"󲮈",,,,"ɬu¹³",,,,,,"ɬɯ³³",,,
"󲮉","lo³³","lo³³",,"lo³³","lu³³","lɯ⁵³","lu⁵⁵","lu³³","hɔ³³","bu²¹",,,
"󲮊","ʈo²¹","ʈo²¹","ɖʼɯ²¹","ʈo²¹",,,,"tæ²¹","de³³","dzu³³",,,
"󲮋","ɖe²¹","ɖie²¹","lə²¹","ɖe²¹","dɚ²¹","da²¹","le²¹","lɛ³³","mᴀ³³","ȵɛ⁵⁵","tɕʼɪ⁵⁵",,"ɖlɛ³³"
"󲮌","tʂʼɪ¹³","tsʼɛ¹³","tʂʼi⁵⁵","tʂʼɪ¹³",,"tɕʼei⁵⁵","tɕʼɪ²¹","tɕʼi²¹","tʂʼʅ²¹","tʂʼʅ⁵⁵",,"tʂʼɿ⁵⁵","tɕʼi²¹"
"󲮍","ɳdʐo³³","ndzo³³","ɳdʼɔ³³","ndʐo³³","ndzɐ³³","ȵdʑu⁵³","dʐa³³","dzᴀ³³","dzai⁵⁵","ndʐo³³","tʂʼɯ²¹",,
