"word","weining","dafang","luquan","bijie","panxian","longlin","honghe","shiping","weishan","xide","chuxiong","yongren","shilin"
"󳆕","nʊ⁵⁵","nʊ⁵⁵","he⁵⁵","nu⁵⁵",,"nɯ⁵³","nor²¹","tsʼor²¹","na²¹","tʂu⁵³","ka³³","kɐ³³",
"󳆖",,"ɸo²¹",,"ɬe²¹",,"ɬɯa⁵⁵","ɬi⁵⁵","ɬi⁵⁵",,,,,"ɬo³³"
"󳆗","li³³","ʟɯ³³","lɯ³³","li³³","lu⁵⁵","lɯ⁵³","pʼɤ²¹","lu⁵⁵","pʼy²¹",,,,
"󳆘","lo³³","lo³³","lo²¹",,"lo⁵¹","lo⁵³、lou⁵³","lu³³","lu³³","（ka⁵⁵）lo³³","lu³³","lo³³","lo³³","lo³³"
"󳆙","lo²¹","lʊ²¹","lor²¹","lo²¹","lu³³","lu⁵³","lo³³（xo³³）","lo³³（tɕʼe²¹）","lɔ³³","dzi³³（ma³³）",,"lo⁴⁴",
"󳆚","ʈʼɯ²¹","ʈʼɿ²¹","ʈʼə²¹","ʈʼʅ²¹",,,,,,,"pʼi⁵⁵",,
"󳆛","dʐʅ⁵⁵","dzɿ²¹","tʂo⁵⁵","dʑi²¹","dʑɪ⁵⁵","tɕe²¹","le³³","le³³","tɕʼi³³","mɛ³³",,"mie²¹",
"󳆜","dʐʅ³³",,,"dʑi³³",,"dʑi³³","dʑi³³","tɕi³³","tsɿ²¹","dʐɿ³³",,,
"󳆝",,,,,,,,,,"ɳdʐa⁵⁵",,,
"󳆞","ɳdʐu⁵⁵","ndzu⁵⁵","ɳdʐʼo⁵⁵","ndʐu⁵⁵",,"ɣɯa²¹","dʑa³³","tsʼɤ⁵⁵","me²¹","ɳdʐa⁵⁵","tsə³³","tsɛ⁴⁴","tsi⁵⁵"
"󳆟","tɕy³³","te³³","kɯ²¹",,"kɯ³³","kɯ⁵³","tɯ²¹","tɯ²¹","ɣu²¹","ku³³","kɯ⁵⁵","tsa³³","du²¹"
"󳆠",,"pʼie²¹",,"tɕʼu³³",,,,"zᴀ⁵⁵",,,,,
"󳆡","ȵdʑɯ⁵⁵","ȵdʑi³³",,"ȵdʑʊ²¹",,"dʑə³³",,"dzɿ²¹",,"ŋgɯ²¹",,,
"󳆢",,,,,,,,,,"ʑɛ²¹",,,
"󳆣","ka⁵⁵",,,,,,,"be²¹",,"ba³³、po²¹",,,
"󳆤",,"kue²¹","ɳo⁵⁵",,,,"ʑa⁵⁵","zᴀ⁵⁵","te⁵⁵",,"bi³¹",,
"󳆥","kʼo²¹","ku²¹",,"ku²¹",,,"na²¹","ʑɤ³³","dʑy²¹","dʐu³³",,,"n.zɯ²¹"
"󳆦","gɪ¹³",,,"kui³³",,,,,"tao²¹",,,,
"󳆧","go¹³",,,"go¹³",,,,"ti²¹","o²¹（ɕi⁵⁵）","o⁵⁵",,,
"󳆨","ŋge²¹","ndzu²¹","ȵdʑʼɚ²¹","ȵdʑe²¹","ȵdzɚ²¹","ndʑɚ²¹","dʑu⁵⁵","sɛ²¹.gu⁵⁵","ɕe⁵⁵、tʂʼuaŋ⁵⁵","sɿ³³","sæ³³","sɛ³³","tcɛ³³"
"󳆩","ŋɛ³³",,,"vi³³",,"ve⁵³","vi⁵⁵",,"vi⁵⁵","mo³³",,,
"󳆪","ŋa⁵⁵","ŋa⁵⁵",,"ŋa⁵⁵","ŋa⁵⁵",,"tur³³","tur³³",,"ʑi³³",,,
"󳆫","xa¹³","xa¹³","xar⁵⁵","xa¹³","xar²¹","xe⁵⁵","tsʼa³³","ɕer²¹","tsʼa³³","ɕɛ³³","tsʼɛ³³","tsʼa³³","tsʼᴀ⁴⁴.ɕe²¹"
"󳆬","xʊ⁵⁵","sɿ²¹",,"ho⁵⁵",,,"ɕu⁵⁵","do³³",,"go³³",,,
"󳆭","ɣɯ²¹","ŋɯ³³",,"ɣɯ²¹",,"ŋɯ³³","ŋɯ⁵⁵","ŋɯ⁵⁵","ŋu⁵⁵","ŋo³³","ŋɯ³³",,"ŋɯ³³"
"󳆮",,"ɣe⁵⁵",,,,,"ʔɛ⁵⁵","ʔɛ⁵⁵",,,,,
